artist_id,artistname
0, Dolce
1,!!!
2,!!! Chk Chik Chick
3,!Dela Dap
4,!Distain
5,#1 Bob Marley
6,#1 Dads
7,#1 Garth Brooks Tribute Band
8,#1 Hits Now
9,#1 Muppets Song For Kids
10,#1 Pop Hits From 1980
11,#Esteve
12,$6 Million Dollar Weirdo
13,$Pyda/Fresh/Pendulum/Tenor Fly
14,$bags
15,$ike1 Sell
16,$ike1 Sell Feat. Juneya
17,$olal
18,$pyda/Fresh/Pendulum/Tenor Fly
19,$ucksex
20,$yrup X Hush
21,& More
22,&ME
23,'60s Rock Heroes
24,'80s Soundtrack Players
25,'Ale'a
26,'N Sync
27,'N Sync / Nelly
28,'Spike' Robinson / 'Sweets' Edison Quintet
29,'T Hof Van Commerce
30,'Til Tuesday
31,'Til tuesday
32,'t Vrije Schaep
33,( Me Llamo ) Sebastián
34,(+) Comfort
35,(+44)
36,(Echo)
37,(Hed) P.E.
38,(Horrorshow)
39,(Roseanne Cash)
40,(Smog)
41,(Val)liam
42,(We Are) Performance
43,(hed) PE
44,(lo:muêso)
45,***
46,*NSYNC
47,*Nsync
48,*Shels
49,*repeat repeat
50,+    Todd Rundgren
51,+/-
52,+/- {Plus-Minus}
53,+1
54,+44
55,-M-
56,-the Blow Monkeys
57,...And You Will Know Us By The Trail Of Dead
58,...And You Will Know Us by the Trail of Dead
59,...Bender
60,...and the Hero Prevails
61,.22
62,.38 Special
63,.:MAE:. 
64,.Fe
65,.Off.
66,.hack/SIGN
67,//Tense//
68,007 Collective
69,009 Sound System
70,01
71,01 - N
72,01 Hard Day's Night
73,015_Basshunter
74,02
75,03. Dan Auerbach
76,037 Leo
77,04
78,04 Oh
79,047
80,05
81,06 Mr
82,07
83,07. Coldplay
84,079 Walking On Broken G
85,08001
86,09
87,09. Roy Buchanan
88,091
89,0neTrickPony
90,1
91,1 Giant Leap
92,1 Giant Leap feat. Grant-Lee Phillips & Horace Andy
93,1 Girl Nation
94,"1 Piano, 2 Guys, 100 Cello Tracks"
95,1 Uppers
96,"1,2,3"
97,1-Speed Bike
98,1.000 Mexicans
99,1.8.7
100,10 Ft. Ganja Plant
101,10 Honey Don
102,10 Reasons
103,10 Years
104,"10,000 Maniacs"
105,10-20
106,10. Graham Nash
107,100 Damned Guns
108,100 Onces
109,100 Piano Classics
110,100 Watt Vipers
111,100% Pure Poison
112,1000 Homo DJs
113,100s
114,101
115,101 Classical Music Masterpieces
116,101 Strings Orchestra
117,107 Faunos
118,108
119,108 Grand
120,10:32
121,10CC
122,10cc
123,10ft Baby
124,11
125,11 Acorn Lane
126,112
127,112 feat Mr Cheeks
128,112 featuring The Notorious B.I.G. and Mase
129,113 Clan
130,114. Seal
131,116
132,116 Clique
133,11_inch
134,11_inch feat. Helena Nour
135,12 Stones
136,12 Years Coming...
137,120 Days
138,1200 Micrograms
139,1200 Techniques
140,1208
141,121 Community Church
142,121 Community Church Worship Band
143,123Mrk
144,127
145,1280 Almas
146,12Vince
147,12th Planet
148,12th Planet & Antiserum
149,12th Planet & Mayhem feat. Pennybirdrabbit
150,12th Planet & Protohype
151,12th Planet & SPL
152,12th Planet feat. Skrillex & Kill The Noise
153,"12th Planet, Protohype & Killagraham"
154,"12th Planet, Skrillex, & Kill the Noise feat. GMCFOSHO"
155,12twelve
156,13
157,13 & God
158,13 Cats
159,13 Pista 13
160,13 Ways
161,1334
162,134 Allstars
163,1349
164,13segundos
165,13th Floor Elevator
166,14 Iced Bears
167,14 KT
168,14 Pista 14
169,140 Farts
170,14?
171,14KT
172,14th
173,15 Minutes Before The Dive
174,15-60-75 (The Numbers Band)
175,15.60.75 (Numbers Band)
176,151 Mike Oldfield
177,16 Bit
178,16 Bit Lolitas
179,16 Frames
180,16 Horsepower
181,16 Second Stare
182,16 Singing Men
183,16BIT
184,16Volt
185,17
186,17 Hippies
187,175_Tinie Tempah
188,17:28
189,17Years
190,18
191,18 Carat Affair
192,18+
193,181_Timbaland & Justin Timberl
194,185_Taio Cruz
195,1860
196,187 Lockdown
197,1885 Mortier Belgian Band Organ
198,19-Jo Boxers
199,1900
200,1910 Fruitgum Company
201,1927
202,1930s and 1940s Music
203,1940s Songs
204,1964 The Tribute
205,1969
206,1972
207,1978 Disco Floyd Band
208,1982
209,1987
210,1990s
211,1991
212,1992 Broadway Revival Cast
213,1995
214,1997
215,1998 Royal National Theatre Cast
216,19th Century Anonymous
217,1Oaks
218,1ST VOWS
219,1UP
220,1dBt
221,1st Down
222,2 Bad Mice
223,2 Bal
224,2 Best Enemies
225,2 Blyga Läppar
226,2 Brothers On The 4Th Floor
227,2 Brothers On The 4th Floor
228,2 Chainz
229,2 Chainz Ft Kanye West
230,2 Dope Queens
231,2 Fabiola
232,2 In A Room
233,2 In a Room
234,2 IndaBush
235,2 LIVE CREW
236,2 Live Crew
237,"2 Live Crew, The"
238,2 Many Units
239,2 Men 4 Soul
240,2 Men Ahead
241,2 Minutos
242,2 Pac
243,2 Pac Feat. Elton John
244,2 Pistols
245,2 Play
246,2 Times Terror
247,2 Two-Hit Wonders
248,2 Unlimited
249,2 Unlimted
250,2 Vibez
251,2 Years to Apocalypse
252,2 in a Room
253,2 minutos
254,2-4 Grooves
255,2-4 Grooves ft Reki D
256,20 Fingers
257,20 Something
258,2000's Karaoke Band
259,2000F
260,2003 Broadway Cast Gypsy
261,2006 Banging Mix
262,2012 Happy New Year
